spectrum_key	peptide_key	number_of_nodes	number_of_edges
-4884140839212274992	3464211861741338456	13	34
-7217153284883909998	3464211861741338456	13	34
-4277254513730703165	1871735970341683125	13	34
3824986252902722117	-3855604382815201999	15	51
3830854865561613331	-2502103907318661911	13	35
-8076796466248335024	8123358751276629834	12	26
5460343299099003908	4530625241604008029	16	60
5978819282229171724	1526271875777244526	9	8
-6868271818770998743	8124257509195293846	13	34
656325829013033980	3911317517361566372	10	16
-6388650121065494176	-599030286037297442	13	33
-693522094136230622	2668074036030438672	12	25
-9137038168069561075	3570439050552151534	12	27
7757494562206329917	3570439050552151534	12	27
-9147300413326509221	3570439050552151534	12	27
-7469367477532122032	-8546626484350481403	10	9
5507792178514093996	-2807844156739947030	15	52
8724958294030562457	-3941091501782775424	12	17
-2698117222446358900	2668074036030438672	12	25
-1819591513805669417	6703988564554266031	14	44
-2327377828574495453	-2502103907318661911	13	35
-3762735448764557742	-6188816532915686489	17	68
5620289777693549835	1526271875777244526	9	8
-1177362441798307564	1526271875777244526	9	8
-2687903365356322598	-5333751126872049407	14	43
6280650074347591631	3911317517361566372	10	16
-3067236635001663401	8287745378248553789	14	43
8312045494590045888	1526271875777244526	9	8
689479066669155811	3911317517361566372	10	16
8757197095909738806	-8546626484350481403	10	9
-3763392938738291544	8123358751276629834	12	26
-2325206780116642931	3978554926940543744	15	51
8757201014114210740	-3941091501782775424	12	17
8909289473066264110	-2502103907318661911	13	35
6688219358889264034	6703988564554266031	14	44
8312047211618985026	1526271875777244526	9	8
-3748889894291836162	8123358751276629834	12	26
8725985219357576803	-8546626484350481403	10	9
-6551549345690053365	1526271875777244526	9	8
-6591892593370687572	6703988564554266031	14	44
8760297325760370812	7326875935706676482	11	17
-9150214135525965407	-2502103907318661911	13	35
692480715416551193	1526271875777244526	9	8
2992708829210946897	-8546626484350481403	10	9
-6555420007351148507	1526271875777244526	9	8
693788562697658703	4885281803576604551	15	52
-1407361926645740253	3978554926940543744	15	51
713572166626088938	-5900333991707279059	13	33
713571682218216808	-2502103907318661911	13	35
6350738616184024436	5942506527943228679	16	59
2992711643339995091	7326875935706676482	11	17
-8114907925622066109	8123358751276629834	12	26
5615152483115847717	1526271875777244526	9	8
840463134011630512	-2502103907318661911	13	35
-2858928105905310691	1526271875777244526	9	8
3497365966496456881	1526271875777244526	9	8
-3065554063436198953	-2502103907318661911	13	35
-2230298895748399768	828588425719391708	14	42
-2330203340346333533	-2502103907318661911	13	35
4445887794523090034	4064794848197573901	13	33
6185056968120663119	1526271875777244526	9	8
6285645604193297121	1112904603126947596	13	34
-2230300752402192406	-2502103907318661911	13	35
-688384452850300916	7326875935706676482	11	17
5353836191964018998	-8546626484350481403	10	9
-2070930602255821904	3570439050552151534	12	27
4648879474206967048	1526271875777244526	9	8
-489526025305142400	6703988564554266031	14	44
-489527742100975358	6703988564554266031	14	44
-865715551816386626	-2502103907318661911	13	35
-7350493538391083766	1526271875777244526	9	8
8152593425295072317	-2502103907318661911	13	35
3839635905346535758	7326875935706676482	11	17
3852224801659723544	4885281803576604551	15	52
6180608135668653171	1526271875777244526	9	8
-2559655646337282170	4912662101621310070	15	52
-2480622086793865758	-6590446819685402054	16	51
5979401577199567646	1526271875777244526	9	8
2387569430718098309	-7173683247164420531	11	18
102587029952561238	6703988564554266031	14	44
-6184371706828661110	1526271875777244526	9	8
8071010317613476680	1043366308038842655	16	60
5743117984831226947	1526271875777244526	9	8
-7979319079301235839	-2502103907318661911	13	35
5006632271589341309	7326875935706676482	11	17
5743115163963907777	1526271875777244526	9	8
4441294376223804494	1526271875777244526	9	8
-7238615609656506433	3570439050552151534	12	27
2387569775543267591	8123358751276629834	12	26
-7979322862207033085	-2502103907318661911	13	35
-2066376771006631028	-3855604382815201999	15	51
-1619315582438477738	-2502103907318661911	13	35
1825309939170913340	3570439050552151534	12	27
-2476311491119582898	1526271875777244526	9	8
3996784125774827412	1526271875777244526	9	8
3852952661971477986	1526271875777244526	9	8
-2477360919471067368	3911317517361566372	10	16
-8110317806127229825	3464211861741338456	13	34
491061933750441633	3978554926940543744	15	51
8073924007575490994	-7183523572994776680	17	68
8264278879597427199	1526271875777244526	9	8
8111943510759885925	939964332088467950	17	67
-6651069869000614743	8487118351226905318	18	68
-6661283727050636545	-7173683247164420531	11	18
-3368488258509320116	8123358751276629834	12	26
-7356692354202521974	1526271875777244526	9	8
841045840225220258	3464211861741338456	13	34
-2566967562802408442	5834341016277241492	10	16
8108289437476538285	-5711997489788294977	15	51
3803354878964178284	2668074036030438672	12	25
3803352197947131886	2668074036030438672	12	25
1038888176879427764	-2327580186528642643	15	51
-2329656162056080463	-2502103907318661911	13	35
926544769670689283	1526271875777244526	9	8
-6730920180124653409	1526271875777244526	9	8
-8115455448600420015	8123358751276629834	12	26
-1143807772220468143	455094006162096435	11	17
5974406046734562864	1526271875777244526	9	8
-6647580002730760621	-7173683247164420531	11	18
4852659788587056229	5675260193225989033	15	52
-141793899521598595	5753763298208735006	12	26
-1172772326598504152	4912662101621310070	15	52
3823248412341677417	-5711997489788294977	15	51
-5550328577354305907	7326875935706676482	11	17
7703284673190504123	1526271875777244526	9	8
-7354503832618008540	1526271875777244526	9	8
-4275366483780568025	2668074036030438672	12	25
3826915920547423905	3464211861741338456	13	34
-141796851391331841	5602135353673124542	13	36
8113438682785489331	-6854379975517544122	16	59
-7187018474684930886	-7287493187839878232	14	43
2384895619053347583	-7379054445926204567	18	68
-7964263602096379783	1112904603126947596	13	34
-8077572578901990274	1304253366284648153	17	60
2388072602551450793	8123358751276629834	12	26
6464929393776584378	7326875935706676482	11	17
5731152139132966843	1526271875777244526	9	8
8587065561716044439	-8546626484350481403	10	9
-4725986800478926807	7326875935706676482	11	17
3851598931872172084	-7229122234444738036	9	8
-8287649044268744524	-5711997489788294977	15	51
-7978765571584133585	6703988564554266031	14	44
4576822773586096642	1526271875777244526	9	8
-2529085277205180119	-7229122234444738036	9	8
8072570121588997220	-5629245545953995641	17	67
3851601750565606070	3911317517361566372	10	16
2305970081611942047	1526271875777244526	9	8
-6688977884352448636	4530625241604008029	16	60
2389592146131797587	8123358751276629834	12	26
5744468911320806167	1526271875777244526	9	8
8112411720942852937	-2077946969158575359	16	60
-6386489801335080467	1526271875777244526	9	8
8406509200512996538	7052327064949088373	11	24
5600061205042633057	7326875935706676482	11	17
6233706848048494633	7326875935706676482	11	17
8266045629448729681	4912662101621310070	15	52
-2478985849855887308	1526271875777244526	9	8
-6869833071952653911	5753763298208735006	12	26
-7978108081621414699	3464211861741338456	13	34
5061021811662396455	8124257509195293846	13	34
-4882034096368639664	8123358751276629834	12	26
